Vármegye;Település;Cím;Típus;Akadálymentesség;Választópolgárok száma
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Szabadság út 23. (Klebelsberg K. Ált. I. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Igen;1081
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Máriaremetei út 185. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Nem;958
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Szabadság út 23. (Klebelsberg K. Ált. I. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Igen;944
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Máriaremetei út 185. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Nem;1017
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Máriaremetei út 71. (Ált. Isk.);10 ezer lakos feletti település, nem megyei jogú város;Igen;993
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Kútföldi út 1. (Közösségi Ház);10 ezer lakos feletti település, nem megyei jogú város;Igen;1081
BUDAPEST főváros;Budapest 02. kerület;1021 Budapest 02, Labanc u. 2. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;965
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;719
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;714
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;708
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;1083
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Pasaréti út 41. (Bölcsőde);10 ezer lakos feletti település, nem megyei jogú város;Nem;915
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Érmelléki út 12. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Nem;844
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Érmelléki út 12. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Nem;823
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;1016
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;830
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Nem;828
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Keleti K. u. 37. (II. Rákóczi F. Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Igen;940
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Keleti K. u. 37. (II. Rákóczi F. Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Igen;666
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Keleti K. u. 37. (II. Rákóczi F. Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Igen;859
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Kitaibel Pál u. 10. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Nem;900
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Kitaibel Pál u. 10. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Nem;980
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Bem J. tér 2. (Gondozási Központ);10 ezer lakos feletti település, nem megyei jogú város;Igen;1076
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Igen;910
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Igen;896
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Kitaibel Pál u. 10. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Nem;1033
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Kapás u. 55. (Budai Táncklub);10 ezer lakos feletti település, nem megyei jogú város;Nem;886
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Igen;910
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Varsányi I. u. 32. (Bölcsőde);10 ezer lakos feletti település, nem megyei jogú város;Igen;982
BUDAPEST főváros;Budapest 02. kerület; Budapest 02, Varsányi I. u. 32. (Bölcsőde);10 ezer lakos feletti település, nem megyei jogú város;Igen;980
BUDAPEST főváros;Budapest 02. kerület;1021 Budapest 02, Labanc u. 2. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;917
BUDAPEST főváros;Budapest 02. kerület;1024 Budapest 02, Keleti K. u. 37. (II. Rákóczi F.Gimn.);10 ezer lakos feletti település, nem megyei jogú város;Igen;0
BUDAPEST főváros;Budapest 03. kerület;1036 Budapest 03, Árpád fejedelem útja 60. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;914
BUDAPEST főváros;Budapest 03. kerület;1036 Budapest 03, Árpád fejedelem útja 60. (Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;841
BUDAPEST főváros;Budapest 03. kerület;1036 Budapest 03, Mókus utca 2. (Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;1058
BUDAPEST főváros;Budapest 03. kerület;1034 Budapest 03, Nagyszombat utca 19. (Árpád Gimnázium);10 ezer lakos feletti település, nem megyei jogú város;Nem;1015
BUDAPEST főváros;Budapest 03. kerület;1034 Budapest 03, Nagyszombat utca 19. (Árpád Gimnázium);10 ezer lakos feletti település, nem megyei jogú város;Nem;700
BUDAPEST főváros;Budapest 03. kerület;1034 Budapest 03, Nagyszombat utca 19. (Árpád Gimnázium);10 ezer lakos feletti település, nem megyei jogú város;Igen;1137
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, San Marco utca 81. (Óbudai Kulturális Központ);10 ezer lakos feletti település, nem megyei jogú város;Igen;946
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, San Marco utca 81. (Óbudai Kulturális Központ);10 ezer lakos feletti település, nem megyei jogú város;Igen;835
BUDAPEST főváros;Budapest 03. kerület;1032 Budapest 03, San Marco utca 81. (Óbudai Kulturális Központ);10 ezer lakos feletti település, nem megyei jogú város;Igen;928
BUDAPEST főváros;Budapest 03. kerület;1034 Budapest 03, Nagyszombat utca 19. (Árpád Gimnázium);10 ezer lakos feletti település, nem megyei jogú város;Nem;901
BUDAPEST főváros;Budapest 03. kerület;1034 Budapest 03, Bécsi út 96/B. (Óbudai Egyetem);10 ezer lakos feletti település, nem megyei jogú város;Igen;989
