"Vármegye","Település","EVK Sorszám","Szavazókör sorszáma","Cím","Típus","Akadálymentesség","Választópolgárok száma"
"BUDAPEST főváros","Budapest 02. kerület","13","045"," Budapest 02, Máriaremetei út 185. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","958"
"BUDAPEST főváros","Budapest 02. kerület","13","046"," Budapest 02, Szabadság út 23. (Klebelsberg K. Ált. I. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","944"
"BUDAPEST főváros","Budapest 02. kerület","13","047"," Budapest 02, Máriaremetei út 185. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 017"
"BUDAPEST főváros","Budapest 02. kerület","12","048"," Budapest 02, Máriaremetei út 71. (Ált. Isk.)","10 ezer lakos feletti település, nem megyei jogú város","Igen","993"
"BUDAPEST főváros","Budapest 02. kerület","12","049"," Budapest 02, Kútföldi út 1. (Közösségi Ház)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 081"
"BUDAPEST főváros","Budapest 02. kerület","11","050","1021 Budapest 02, Labanc u. 2. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","965"
"BUDAPEST főváros","Budapest 02. kerület","09","051"," Budapest 02, Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","719"
"BUDAPEST főváros","Budapest 02. kerület","09","052"," Budapest 02, Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","714"
"BUDAPEST főváros","Budapest 02. kerület","09","053"," Budapest 02, Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","708"
"BUDAPEST főváros","Budapest 02. kerület","11","054"," Budapest 02, Budenz út 20-22. (Budenz J. Ált. Isk. és Gimn.)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 083"
"BUDAPEST főváros","Budapest 02. kerület","07","055"," Budapest 02, Pasaréti út 41. (Bölcsőde)","10 ezer lakos feletti település, nem megyei jogú város","Nem","915"
"BUDAPEST főváros","Budapest 02. kerület","02","056"," Budapest 02, Érmelléki út 12. (Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Nem","844"
